lsoacd,oacd
E01004612,E00023264
E01000692,E00003359
E01004615,E00023266
E01004027,E00020264
E01004613,E00023263
E01001492,E00007412
E01001485,E00007413
E01004722,E00175260
E01004722,E00175261
E01004442,E00022334
E01004436,E00022332
E01004438,E00022336
E01004436,E00022337
E01003956,E00019889
E01003952,E00019888
E01000789,E00003861
E01003941,E00019808
E01004442,E00022333
E01004440,E00022330
E01032637,E00020267
E01004611,E00023262
E01004027,E00020266
E01004615,E00023265
E01004611,E00023267
E01000556,E00002700
E01002551,E00012704
E01000556,E00002703
E01002549,E00012705
E01000473,E00002336
E01000477,E00002337
E01002476,E00012338
E01002476,E00012339
E01002472,E00012330
E01002474,E00012331
E01002473,E00012332
E01002474,E00012333
E01000475,E00002334
E01000474,E00002335
E01002878,E00014455
E01002876,E00014452
E01002878,E00014457
E01002878,E00014454
E01004259,E00021461
E01002876,E00014456
E01004260,E00021463
E01002876,E00014453
E01002876,E00014450
E01000074,E00000371
E01004765,E00024125
E01001079,E00005372
E01000073,E00000370
E01000074,E00000372
E01000074,E00000375
E01004765,E00024126
E01000074,E00000377
E01000075,E00000376
E01004252,E00167227
E01004736,E00023936
E01004735,E00023932
E01000887,E00004395
E01000872,E00004314
E01003091,E00015594
E01003093,E00015593
E01003072,E00015517
E01003073,E00015515
E01003073,E00015516
E01003092,E00015596
E01003882,E00019521
E01003093,E00015597
E01000576,E00002783
E01002551,E00012706
E01000555,E00002702
E01002551,E00012707
E01004222,E00021279
E01000570,E00002784
E01002763,E00013768
E01000558,E00002705
E01002767,E00013769
E01001751,E00008750
E01000557,E00002704
E01000578,E00002785
E01001751,E00008753
E01000513,E00002505
E01000514,E00002502
E01000530,E00002585
E01000534,E00002584
E01000517,E00002507
E01000514,E00002504
E01001717,E00008552
E01000535,E00002586
E01000533,E00002583
E01000534,E00002582
E01002295,E00011453
E01002300,E00011450
E01002296,E00011452
E01002082,E00010469
E01002294,E00011454
E01002293,E00011455
E01002295,E00011456
E01002295,E00011457
E01002294,E00011451
E01003457,E00017487
E01001757,E00008781
E01001794,E00008951
E01000617,E00002984
E01000482,E00002370
E01000482,E00002372
E01000483,E00002373
E01000484,E00002378
E01002348,E00011704
E01002365,E00011785
E01002348,E00011706
E01002367,E00011787
E01002343,E00011702
E01002365,E00011783
E01001750,E00008728
E01001315,E00006574
E01003882,E00019529
E01003072,E00015514
E01002632,E00013095
E01002895,E00014560
E01001115,E00005520
E01000921,E00004578
E01000928,E00004579
E01004120,E00020751
E01004126,E00020758
E01004123,E00020753
E01004120,E00020750
E01004124,E00020755
E01004121,E00020752
E01004125,E00020757
E01000834,E00004111
E01004123,E00020759
E01000832,E00004085
E01004420,E00022262
E01000779,E00003815
E01004421,E00022265
E01001432,E00007083
E01004421,E00022264
E01032562,E00004004
E01004421,E00022267
E01000780,E00003812
E01004618,E00023254
E01001432,E00007080
E01004618,E00023257
E01000649,E00003119
E01000662,E00003198
E01001439,E00007129
E01000800,E00003939
E01000668,E00003190
E01000650,E00003111
E01000669,E00003191
E01001433,E00007128
E01004197,E00021145
E01004387,E00022076
E01004395,E00022077
E01004201,E00021143
E01004198,E00021141
E01000981,E00004875
E01000371,E00001812
E01000385,E00001893
E01003580,E00018050
E01003527,E00017821
E01003523,E00017820
E01002940,E00014822
E01002942,E00014825
E01003576,E00018053
E01003575,E00018052
E01002579,E00012821
E01001692,E00008437
E01001688,E00008432
E01000293,E00001430
E01000292,E00001431
E01000293,E00001432
E01000294,E00001433
E01003575,E00018051
E01002942,E00014820
E01001704,E00008478
E01003638,E00018344
E01003638,E00018345
E01003641,E00018346
E01003639,E00018347
E01004240,E00021342
E01003390,E00017155
E01003204,E00016162
E01004091,E00020622
E01003206,E00016163
E01004094,E00020623
E01004094,E00020624
E01004091,E00020625
E01004090,E00020620
E01004092,E00020621
E01000726,E00003532
E01001076,E00005370
E01001009,E00005025
E01000723,E00003538
E01000377,E00001835
E01001079,E00005373
E01001079,E00005375
E01001006,E00005024
E01000072,E00000373
E01001379,E00006836
E01001078,E00005374
E01000374,E00001836
E01001080,E00005377
E01000376,E00001837
E01001078,E00005376
E01000427,E00002079
E01000073,E00000374
E01001011,E00005027
E01002598,E00012949
E01000938,E00004664
E01003148,E00015936
E01032774,E00167129
E01002600,E00012948
E01000942,E00004666
E01002967,E00014941
E01000942,E00004667
E01003606,E00018171
E01003696,E00018600
E01002965,E00014940
E01003719,E00018681
E01002645,E00013116
E01003713,E00018689
E01003557,E00017948
E01003698,E00018608
E01001484,E00007355
E01001483,E00007352
E01001476,E00007357
E01001484,E00007354
E01001845,E00176285
E01001478,E00007356
E01004285,E00021579
E01004052,E00020388
E01004674,E00023597
E01004034,E00020309
E01004283,E00021574
E01004283,E00021572
E01003825,E00019219
E01003837,E00019298
E01003825,E00019218
E01003839,E00019299
E01001483,E00007353
E01001479,E00007350
E01004660,E00023516
E01004679,E00023596
E01004718,E00023856
E01002098,E00010567
E01002098,E00010561
E01002313,E00011556
E01001937,E00009712
E01001952,E00009793
E01032788,E00009714
E01001956,E00009794
E01001934,E00009717
E01001954,E00009795
E01001935,E00009716
E01001958,E00009797
E01001952,E00009792
E01032790,E00009713
E01000336,E00001639
E01000336,E00001638
E01000265,E00001331
E01000266,E00001330
E01000268,E00001333
E01000268,E00001332
E01001881,E00009390
E01001881,E00009392
E01001858,E00009313
E01001880,E00009394
E01001873,E00009315
E01003401,E00017224
E01002043,E00010292
E01002849,E00014272
E01002849,E00014273
E01002846,E00014274
E01002849,E00014275
E01002846,E00014276
E01002846,E00014277
E01004226,E00021290
E01032787,E00021211
E01002846,E00014270
E01002846,E00014271
E01001239,E00006197
E01001320,E00006590
E01000393,E00001931
E01001305,E00006511
E01001192,E00005949
E01001323,E00006591
E01000392,E00001930
E01001305,E00006510
E01001194,E00005948
E01000853,E00004179
E01001322,E00006592
E01000394,E00001933
E01001303,E00006513
E01001326,E00006599
E01000024,E00000128
E01001311,E00006518
E01001227,E00006114
E01002645,E00013144
E01003161,E00015960
E01002645,E00013147
E01003162,E00015963
E01002645,E00013146
E01003163,E00015962
E01003163,E00015967
E01003162,E00015964
E01001659,E00008275
E01003377,E00017093
E01003364,E00017015
E01003373,E00017094
E01003364,E00017014
E01003373,E00017095
E01003363,E00017010
E01003143,E00015887
E01003134,E00015806
E01002578,E00012850
E01003176,E00016048
E01002581,E00012857
E01002950,E00014854
E01002580,E00012856
E01002911,E00014659
E01002910,E00014658
E01001431,E00007082
E01004618,E00023256
E01000796,E00003893
E01004420,E00022261
E01000798,E00003894
E01004420,E00022260
E01001414,E00007003
E01004423,E00022263
E01002856,E00014302
E01002868,E00014380
E01033742,E00176584
E01000076,E00000363
E01000132,E00000633
E01001676,E00008338
E01002137,E00010724
E01002137,E00010725
E01001719,E00008572
E01003184,E00016095
E01003164,E00016017
E01003745,E00018832
E01002624,E00013029
E01003187,E00016096
E01003164,E00016016
E01003746,E00018835
E01003744,E00018833
E01003164,E00016015
E01004521,E00170962
E01004483,E00170963
E01001555,E00007718
E01001557,E00007719
E01001567,E00007790
E01032574,E00007711
E01001567,E00007791
E01001555,E00007710
E01004563,E00170960
E01004506,E00022626
E01001554,E00007747
E01001562,E00007744
E01003927,E00166638
E01001557,E00007746
E01003927,E00166637
E01003927,E00166635
E01004669,E00023544
E01002141,E00010738
E01002808,E00013997
E01002428,E00012105
E01033743,E00176563
E01001665,E00176566
E01033735,E00176568
E01002253,E00011274
E01002252,E00011270
E01002091,E00010513
E01000764,E00003743
E01003002,E00015132
E01000762,E00003740
E01001244,E00166853
E01003001,E00015135
E01001244,E00166852
E01003000,E00015134
E01001590,E00007894
E01002640,E00013131
E01003004,E00015137
E01002642,E00013130
E01003004,E00015133
E01001222,E00166850
E01003655,E00018429
E01003864,E00019413
E01001330,E00006597
E01003657,E00018428
E01000328,E00001595
E01001306,E00006516
E01000328,E00001597
E01000329,E00001596
E01001649,E00008205
E01001686,E00008362
E01003876,E00019492
E01000096,E00000476
E01001833,E00009129
E01002333,E00011682
E01002803,E00013967
E01002803,E00013966
E01001832,E00009121
E01002803,E00013964
E01001908,E00009542
E01001910,E00009543
E01001909,E00009544
E01001913,E00009545
E01001913,E00009546
E01001914,E00009547
E01002101,E00010538
E01002101,E00010539
E01001914,E00009540
E01001910,E00009541
E01000130,E00000654
E01000130,E00000655
E01004309,E00167078
E01001137,E00005656
E01002824,E00014121
E01002824,E00014120
E01000126,E00000657
E01002825,E00014123
E01002825,E00014122
E01000130,E00000656
E01000125,E00000652
E01002826,E00014128
E01003094,E00015609
E01001336,E00006663
E01003108,E00015688
E01004085,E00020588
E01004088,E00020580
E01004084,E00020589
E01004087,E00020583
E01004083,E00020582
E01032775,E00167118
E01000937,E00004654
E01000301,E00001488
E01004697,E00023719
E01004709,E00023798
E01004699,E00023714
E01004711,E00023795
E01004101,E00020661
E01001537,E00007625
E01000757,E00003697
E01004099,E00020663
E01003735,E00018776
E01003734,E00018777
E01000746,E00003616
E01000746,E00003613
E01001062,E00005296
E01000887,E00004390
E01000054,E00000294
E01000873,E00004318
E01000045,E00000215
E01000874,E00004310
E01000451,E00002229
E01000871,E00004311
E01000874,E00004313
E01001064,E00005297
E01001043,E00005216
E01000888,E00004391
E01000055,E00000296
E01000873,E00004312
E01000045,E00000217
E01000886,E00004392
E01001064,E00005295
E01000889,E00004399
E01001047,E00005217
E01000872,E00004319
E01003984,E00020076
E01004579,E00023075
E01004581,E00023077
E01004577,E00023074
E01001394,E00006939
E01004577,E00023076
E01000653,E00003129
E01004760,E00024085
E01001392,E00006938
E01004744,E00024004
E01004715,E00023814
E01004726,E00023895
E01004748,E00024007
E01004760,E00024086
E01004716,E00023817
E01004726,E00023896
E01003983,E00020077
E01004581,E00023072
E01004712,E00023815
E01004724,E00023894
E01000572,E00002798
E01002708,E00174798
E01000572,E00002799
E01002506,E00012479
E01000558,E00002718
E01002695,E00013422
E01001753,E00008729
E01000524,E00174719
E01000577,E00002790
E01033455,E00174718
E01000558,E00002711
E01002506,E00012478
