lsoacd,gss_cd,lb_gss_cd
E01000001,E09000001,E09000001
E01000002,E09000001,E09000001
E01000003,E09000001,E09000001
E01000005,E09000001,E09000001
E01000006,E05000026,E09000002
E01000007,E05000026,E09000002
E01000008,E05000026,E09000002
E01000009,E05000026,E09000002
E01000010,E05000026,E09000002
E01000011,E05000026,E09000002
E01000012,E05000026,E09000002
E01000013,E05000027,E09000002
E01000014,E05000027,E09000002
E01000015,E05000027,E09000002
E01000016,E05000027,E09000002
E01000017,E05000027,E09000002
E01000018,E05000027,E09000002
E01000019,E05000028,E09000002
E01000020,E05000028,E09000002
E01000021,E05000028,E09000002
E01000022,E05000028,E09000002
E01000023,E05000028,E09000002
E01000024,E05000028,E09000002
E01000025,E05000028,E09000002
E01000027,E05000029,E09000002
E01000028,E05000029,E09000002
E01000029,E05000029,E09000002
E01000030,E05000029,E09000002
E01000031,E05000029,E09000002
E01000032,E05000029,E09000002
E01000033,E05000030,E09000002
E01000034,E05000030,E09000002
E01000035,E05000030,E09000002
E01000036,E05000030,E09000002
E01000037,E05000030,E09000002
E01000038,E05000030,E09000002
E01000039,E05000030,E09000002
E01000040,E05000031,E09000002
E01000041,E05000031,E09000002
E01000042,E05000031,E09000002
E01000043,E05000031,E09000002
E01000044,E05000031,E09000002
E01000045,E05000031,E09000002
E01000046,E05000031,E09000002
E01000048,E05000032,E09000002
E01000049,E05000032,E09000002
E01000050,E05000032,E09000002
E01000051,E05000032,E09000002
E01000052,E05000032,E09000002
E01000053,E05000033,E09000002
E01000054,E05000033,E09000002
E01000055,E05000033,E09000002
E01000056,E05000033,E09000002
E01000057,E05000033,E09000002
E01000058,E05000033,E09000002
E01000059,E05000033,E09000002
E01000060,E05000034,E09000002
E01000061,E05000034,E09000002
E01000062,E05000034,E09000002
E01000063,E05000034,E09000002
E01000064,E05000034,E09000002
E01000065,E05000034,E09000002
E01000066,E05000035,E09000002
E01000067,E05000035,E09000002
E01000068,E05000035,E09000002
E01000069,E05000035,E09000002
E01000070,E05000035,E09000002
E01000071,E05000035,E09000002
E01000072,E05000036,E09000002
E01000073,E05000036,E09000002
E01000074,E05000036,E09000002
E01000075,E05000036,E09000002
E01000076,E05000036,E09000002
E01000077,E05000036,E09000002
E01000078,E05000037,E09000002
E01000079,E05000037,E09000002
E01000080,E05000037,E09000002
E01000081,E05000037,E09000002
E01000082,E05000037,E09000002
E01000083,E05000037,E09000002
E01000084,E05000038,E09000002
E01000085,E05000038,E09000002
E01000086,E05000038,E09000002
E01000087,E05000038,E09000002
E01000088,E05000038,E09000002
E01000089,E05000038,E09000002
E01000090,E05000038,E09000002
E01000091,E05000039,E09000002
E01000092,E05000039,E09000002
E01000093,E05000039,E09000002
E01000094,E05000039,E09000002
E01000095,E05000039,E09000002
E01000096,E05000039,E09000002
E01000097,E05000040,E09000002
E01000098,E05000040,E09000002
E01000099,E05000040,E09000002
E01000100,E05000040,E09000002
E01000101,E05000040,E09000002
E01000102,E05000040,E09000002
E01000103,E05000041,E09000002
E01000104,E05000041,E09000002
E01000105,E05000041,E09000002
E01000106,E05000041,E09000002
E01000107,E05000041,E09000002
E01000108,E05000041,E09000002
E01000109,E05000042,E09000002
E01000110,E05000042,E09000002
E01000111,E05000042,E09000002
E01000112,E05000042,E09000002
E01000113,E05000042,E09000002
E01000114,E05000042,E09000002
E01000115,E05000043,E09000003
E01000116,E05000043,E09000003
E01000117,E05000043,E09000003
E01000118,E05000043,E09000003
E01000119,E05000043,E09000003
E01000120,E05000043,E09000003
E01000121,E05000043,E09000003
E01000122,E05000043,E09000003
E01000123,E05000043,E09000003
E01000124,E05000043,E09000003
E01000125,E05000044,E09000003
