2011 super output area - lower layer,mnemonic,All categories: Accommodation type,Unshared dwelling: Whole house or bungalow: Detached,Unshared dwelling: Whole house or bungalow: Semi-detached,Unshared dwelling: Whole house or bungalow: Terraced (including end-terrace),"Unshared dwelling: Flat, maisonette or apartment: Purpose-built block of flats or tenement","Unshared dwelling: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Unshared dwelling: Flat, maisonette or apartment: In commercial building",Unshared dwelling: Caravan or other mobile or temporary structure
Camden 001A,E01000907,627,14,26,97,384,104,0,0
Camden 001B,E01000908,827,15,82,32,574,92,5,0
Camden 001C,E01000909,661,79,141,61,230,138,9,0
Camden 001D,E01000912,700,7,13,69,527,72,6,0
Camden 001E,E01000913,722,198,91,114,169,117,25,0
Camden 002A,E01000893,715,9,102,49,100,395,1,0
Camden 002B,E01000894,619,23,77,179,119,183,24,1
Camden 002C,E01000895,841,11,42,141,462,102,68,0
Camden 002D,E01000896,756,35,95,140,96,351,19,0
Camden 002E,E01000899,698,63,131,148,181,161,11,3
Camden 003A,E01000910,588,40,75,148,99,202,16,0
Camden 003B,E01000911,663,9,27,145,279,189,4,1
Camden 003C,E01000921,946,6,25,71,303,424,79,0
Camden 003D,E01000923,656,5,33,212,65,323,4,0
Camden 003E,E01000928,682,11,35,128,254,225,19,1
Camden 004A,E01000878,550,38,22,15,317,147,0,0
Camden 004B,E01000879,602,44,41,30,121,341,9,0
Camden 004C,E01000880,621,46,47,15,120,393,0,0
Camden 004D,E01000884,577,64,125,16,78,272,0,0
Camden 004E,E01000885,592,101,89,46,233,121,2,0
Camden 005A,E01000871,632,54,183,43,149,187,3,1
Camden 005B,E01000872,913,41,81,30,200,408,30,0
Camden 005C,E01000873,710,15,32,189,108,312,21,0
Camden 005D,E01000874,704,2,4,27,491,128,24,0
Camden 005E,E01000877,726,13,36,154,172,259,30,0
Camden 006A,E01000886,606,6,50,139,111,274,8,0
Camden 006B,E01000887,690,5,25,149,224,252,17,0
Camden 006C,E01000888,697,7,21,150,165,299,1,0
Camden 006D,E01000892,823,10,63,71,373,284,4,0
Camden 006E,E01000903,686,9,34,102,217,310,10,0
Camden 007A,E01000889,657,18,34,109,452,37,5,0
Camden 007B,E01000890,767,1,1,6,733,7,2,0
Camden 007C,E01000891,672,5,3,21,571,56,11,0
Camden 007D,E01000901,703,1,6,28,576,52,19,0
Camden 007E,E01000922,653,8,24,114,264,189,43,1
Camden 007F,E01000927,734,9,29,249,211,203,27,1
Camden 008A,E01000881,632,23,20,7,266,267,23,0
Camden 008B,E01000882,728,27,32,94,118,359,26,0
Camden 008C,E01000883,638,11,11,7,313,236,21,0
Camden 008D,E01000897,721,23,63,27,195,382,6,0
Camden 008E,E01000898,850,22,39,62,552,106,10,0
Camden 009A,E01000866,926,13,72,77,384,340,28,0
Camden 009B,E01000870,774,6,69,50,135,499,15,0
Camden 009C,E01000924,795,11,26,101,160,472,3,2
Camden 009D,E01000925,629,2,20,44,448,78,6,0
Camden 009E,E01000926,698,5,121,52,272,208,31,0
Camden 010A,E01000969,954,27,76,13,462,284,60,1
Camden 010B,E01000970,831,3,14,49,236,397,11,0
Camden 010C,E01000971,649,3,24,245,63,250,7,0
Camden 010D,E01000972,949,10,19,69,632,136,27,0
Camden 010E,E01000973,894,14,26,79,276,423,35,0
Camden 011A,E01000842,724,16,34,7,189,435,2,0
Camden 011B,E01000844,870,5,22,23,214,523,2,0
Camden 011C,E01000848,805,11,35,55,232,441,7,0
Camden 011D,E01000849,862,4,11,64,495,226,10,0
Camden 012A,E01000900,757,6,20,204,234,283,3,0
Camden 012B,E01000902,590,2,8,22,447,99,6,0
Camden 012C,E01000904,918,6,20,130,667,74,21,0
Camden 012D,E01000905,812,5,7,14,706,53,12,0
Camden 012E,E01000906,788,11,47,15,567,137,9,0
Camden 013A,E01000875,839,16,30,14,317,377,4,0
Camden 013B,E01000876,800,8,37,156,328,253,8,1
Camden 013C,E01000931,873,8,13,47,560,180,42,0
Camden 013D,E01000932,947,7,12,69,274,544,4,0
Camden 013E,E01000974,821,5,12,73,184,501,7,0
Camden 014A,E01000843,846,3,30,38,415,251,16,5
Camden 014B,E01000845,731,10,22,78,287,291,38,0
Camden 014C,E01000846,616,6,25,107,407,41,4,0
Camden 014D,E01000847,677,8,37,115,407,96,3,1
Camden 015A,E01000864,717,9,50,108,103,425,5,1
Camden 015B,E01000865,451,12,60,80,72,217,4,0
Camden 015C,E01000867,675,1,22,39,453,110,35,1
Camden 015D,E01000868,584,13,28,54,421,59,5,1
Camden 015E,E01000869,967,5,28,101,394,380,13,0
Camden 016A,E01000962,745,7,9,34,148,505,5,0
Camden 016B,E01000964,713,5,21,21,295,353,1,0
Camden 016C,E01000965,764,22,20,18,320,347,0,0
Camden 016D,E01000966,675,17,32,34,82,489,0,0
Camden 016E,E01000968,760,14,14,43,255,415,2,1
Camden 017A,E01000960,841,5,22,84,372,281,18,0
Camden 017B,E01000961,652,3,26,48,517,46,6,0
Camden 017C,E01000963,851,27,20,34,715,37,16,0
Camden 017D,E01000967,619,61,29,26,269,234,0,0
Camden 018A,E01000857,686,6,41,101,251,259,1,0
Camden 018B,E01000858,775,10,31,90,591,33,11,0
Camden 018C,E01000859,807,2,18,192,105,418,38,0
Camden 018D,E01000860,797,11,24,73,353,280,4,0
Camden 018E,E01000862,816,6,54,146,302,278,9,0
Camden 019A,E01000856,628,6,23,110,335,121,30,1
Camden 019B,E01000861,729,8,18,112,225,303,41,0
Camden 019C,E01000957,765,4,22,108,580,50,1,0
Camden 019D,E01000958,835,5,18,76,533,191,3,5
Camden 019E,E01000959,698,1,6,7,657,10,6,0
Camden 020A,E01000929,685,6,22,21,549,65,15,0
Camden 020B,E01000930,1076,4,14,17,858,123,39,1
Camden 020C,E01000933,821,14,34,82,202,380,12,0
Camden 020D,E01000934,732,4,11,36,590,50,7,0
Camden 020E,E01000935,624,3,8,11,507,79,0,0
Camden 021A,E01000863,667,8,5,102,241,167,128,1
Camden 021B,E01000946,715,4,22,76,517,59,25,0
Camden 021C,E01000947,871,10,22,81,371,249,91,1
Camden 021D,E01000948,846,18,42,132,343,269,11,7
Camden 022A,E01000952,675,3,13,43,512,86,9,0
Camden 022B,E01000953,708,7,13,26,626,21,3,2
