2011 super output area - lower layer,mnemonic,Density (number of persons per hectare)
Camden 001A,E01000907,133.4
Camden 001B,E01000908,90.3
Camden 001C,E01000909,70.6
Camden 001D,E01000912,17.7
Camden 001E,E01000913,10.6
Camden 002A,E01000893,29.7
Camden 002B,E01000894,62.7
Camden 002C,E01000895,166.2
Camden 002D,E01000896,112
Camden 002E,E01000899,15.4
Camden 003A,E01000910,113.1
Camden 003B,E01000911,177
Camden 003C,E01000921,158
Camden 003D,E01000923,174.9
Camden 003E,E01000928,66.6
Camden 004A,E01000878,84.5
Camden 004B,E01000879,82.2
Camden 004C,E01000880,78.6
Camden 004D,E01000884,59.9
Camden 004E,E01000885,48.8
Camden 005A,E01000871,54.3
Camden 005B,E01000872,129.5
Camden 005C,E01000873,134.3
Camden 005D,E01000874,182.1
Camden 005E,E01000877,142.4
Camden 006A,E01000886,140.2
Camden 006B,E01000887,148.7
Camden 006C,E01000888,170.4
Camden 006D,E01000892,150.7
Camden 006E,E01000903,141.2
Camden 007A,E01000889,142.4
Camden 007B,E01000890,214.9
Camden 007C,E01000891,203
Camden 007D,E01000901,186.5
Camden 007E,E01000922,81
Camden 007F,E01000927,172.8
Camden 008A,E01000881,102.2
Camden 008B,E01000882,124.1
Camden 008C,E01000883,94.4
Camden 008D,E01000897,80.7
Camden 008E,E01000898,101.4
Camden 009A,E01000866,139.5
Camden 009B,E01000870,133.6
Camden 009C,E01000924,166.5
Camden 009D,E01000925,188.8
Camden 009E,E01000926,193.8
Camden 010A,E01000969,121.8
Camden 010B,E01000970,209.3
Camden 010C,E01000971,184.1
Camden 010D,E01000972,143.5
Camden 010E,E01000973,80
Camden 011A,E01000842,137.3
Camden 011B,E01000844,155.6
Camden 011C,E01000848,157.2
Camden 011D,E01000849,201.9
Camden 012A,E01000900,181.2
Camden 012B,E01000902,172.5
Camden 012C,E01000904,182
Camden 012D,E01000905,237.7
Camden 012E,E01000906,111.3
Camden 013A,E01000875,141.4
Camden 013B,E01000876,149.7
Camden 013C,E01000931,129.8
Camden 013D,E01000932,278.1
Camden 013E,E01000974,148.7
Camden 014A,E01000843,201.4
Camden 014B,E01000845,124.1
Camden 014C,E01000846,181.5
Camden 014D,E01000847,171.2
Camden 015A,E01000864,157.5
Camden 015B,E01000865,138.5
Camden 015C,E01000867,198.8
Camden 015D,E01000868,172.3
Camden 015E,E01000869,184.3
Camden 016A,E01000962,167.1
Camden 016B,E01000964,125
Camden 016C,E01000965,141.6
Camden 016D,E01000966,116
Camden 016E,E01000968,184.7
Camden 017A,E01000960,156.2
Camden 017B,E01000961,133.2
Camden 017C,E01000963,99.8
Camden 017D,E01000967,37.9
Camden 018A,E01000857,178.2
Camden 018B,E01000858,85.4
Camden 018C,E01000859,164
Camden 018D,E01000860,63.5
Camden 018E,E01000862,100.7
Camden 019A,E01000856,138.6
Camden 019B,E01000861,138.1
Camden 019C,E01000957,148.2
Camden 019D,E01000958,93.5
Camden 019E,E01000959,228.1
Camden 020A,E01000929,171.3
Camden 020B,E01000930,164.4
